Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,11910,142920,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (500 GB per month), Nodes (2), Instance Type (db.r4.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,7274.88,87298.56,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (100 GB), Instance type (m6g.8xlarge)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,266.45,3197.4,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,83.7,1004.4,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,77.63,931.56,USD,S3 Standard storage (2 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,357.4,4288.8,USD,"Number of Metrics (includes detailed and custom metrics) (500), Standard Logs: Data Ingested (100 GB), Logs Delivered to CloudWatch Logs: Data Ingested (100 GB), Logs Delivered to S3: Data Ingested (20 GB), Expected Logs Data scanned (100 GB), Number of Dashboards (20), Number of Standard Resolution Alarm Metrics (200), Number of High Resolution Alarm Metrics (100)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
,,,,,,,,
Changes to increase cost,,,,,,,,
"Change EC2 instance from m6a.2xlarge to m6g.8xlarge, and increase the number of instances from 6 to 8",,,,,,,,
Change RDS instace from db.r3.4xlarge to  db.r4.8xlarge,,,,,,,,
Add CloudWatch to monitor AWS resources,,,,,,,,
